contrast,mean,sd,ci95_lo,ci95_hi,n
E_B0,-73.0755,3.9159,-77.937,-68.214,5
E_B1,-78.3272,3.2131,-82.3162,-74.3382,5
B_A0,3.521,4.8143,-2.4558,9.4978,5
B_A1,-1.7306,3.9937,-6.6887,3.2275,5
I,-5.2516,5.4731,-12.0463,1.543,5
