method,n,mean_delta_test_ppl,sd_delta_test_ppl,ci95_lo,ci95_hi
orthogonal,5,3.5210339272128293,4.814390615008285,-2.455863234118776,9.497931088544433
xavier_g1.2,5,5.2804653684053395,3.996596944646346,0.31883037788801794,10.242100358922661
ce_lcg,5,33.44275613077586,6.459415678363463,25.423618026045027,41.4618942355067
