experiment_id,method,model,dataset,epochs,seeds,weight_decay,best_ppl,best_ppl_std,best_epoch,final_ppl,overfit_ratio,vs_xavier_percent,raw_result_path,config_path
R008,xavier_baseline,2-layer d=128,WikiText-2,15,5,0.01,306.1964067442956,1.969089215134219,7.2,363.4691644254466,1.1870458190222313,0.0,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,ce_lcg_attn+xavier_ffn,2-layer d=128,WikiText-2,15,15,0.01,238.76954721293956,3.8122866127087396,4.666666666666667,731.7568149411873,3.0646990936770995,22.02078732676447,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,xavier_attn+ce_hash_ffn,2-layer d=128,WikiText-2,15,5,0.01,240.46652593229456,1.24659684424804,4.2,813.4476384919008,3.3827894977820487,21.466574840276294,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,he_baseline,2-layer d=128,WikiText-2,15,5,0.01,339.8670174097716,1.642950921173314,13.4,343.23564058055746,1.0099115918821988,-10.996409469166089,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,ce_n_shuffled,2-layer d=128,WikiText-2,15,5,0.01,349.78066231637865,2.397297275702565,13.8,352.7083760329401,1.0083701417258835,-14.234084598020855,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,ce_n_lcg,2-layer d=128,WikiText-2,15,5,0.01,352.4748847907439,3.6681899828828386,13.8,355.1237088718884,1.0075149299863366,-15.11398469319577,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
R008,ce_n_hash_indexed,2-layer d=128,WikiText-2,15,5,0.01,354.34669288152674,1.07339592844402,13.4,357.9864989685673,1.010271878248508,-15.725294313280894,raw/R008_selective_transformer_results.json,configs/r008_selective_transformer.json
