experiment_id,method,model,dataset,epochs,seeds,weight_decay,best_ppl,best_ppl_std,best_epoch,final_ppl,overfit_ratio,vs_xavier_percent,raw_result_path,config_path
R008b,xavier_baseline,2-layer d=128,WikiText-2,15,5,0.01,306.1964067442956,1.969089215134219,7.2,363.4691644254466,1.1870458190222313,0.0,raw/R008b_results.json,configs/r008b_controls.json
R008b,orthogonal_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,230.97624102229142,1.8836221430085924,4.0,949.6004547053047,4.111247332203572,24.56598577422905,raw/R008b_results.json,configs/r008b_controls.json
R008b,xavier_gain1.2_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,232.99316847981032,1.733391036873358,5.0,815.4881739339578,3.500051865274422,23.90728194456483,raw/R008b_results.json,configs/r008b_controls.json
R008b,ce_lcg_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,234.5861544388731,0.9646685173969294,5.0,542.3442633847794,2.311919323124843,23.387032221192637,raw/R008b_results.json,configs/r008b_controls.json
R008b,uniform_matched_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,235.27312454979625,1.0694241155292057,5.0,818.0959566073486,3.477218055282792,23.162676188335325,raw/R008b_results.json,configs/r008b_controls.json
R008b,gaussian_matched_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,237.0193986542276,1.1122581426617717,5.0,831.061446377286,3.5063013875487394,22.592364432231133,raw/R008b_results.json,configs/r008b_controls.json
R008b,xavier_gain1.4_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,237.3734604386938,1.300568310695784,5.0,824.4402883170617,3.4731780325963992,22.47673218552032,raw/R008b_results.json,configs/r008b_controls.json
R008b,xavier_gain1.6_attn+xavier_ffn,2-layer d=128,WikiText-2,15,5,0.01,240.36196288591526,2.8120476358779,5.0,796.671719839667,3.314466691295066,21.50072385185063,raw/R008b_results.json,configs/r008b_controls.json
