dose,seed,best_epoch,best_val_ppl,final_val_ppl,final_minus_best_val_loss,test_ppl
D_xavier,57,4,191.27805890293405,3608.727570307523,2.9373823404312134,200.78496726692916
D_mid1,57,4,196.88033885230612,2624.3347276401023,2.5899865786234537,205.36227791225497
D_ctor,57,4,229.45139522412242,880.2027171921264,1.3444610198338829,235.84647478940136
D_xavier,58,4,193.48355708212327,3701.1043417285136,2.9511939922968544,202.49236613473926
D_mid1,58,4,197.41379718661622,2843.3424980442664,2.667433555920919,205.06865991636218
D_ctor,58,4,227.78782760037916,867.0692763384627,1.336704262097677,235.3159132255369
D_xavier,59,4,189.58475932010762,3776.8279508404,2.991803566614787,198.81231945652712
D_mid1,59,4,197.49500309196466,2737.1704634364173,2.628966705004374,205.24050006123323
D_ctor,59,4,227.84362953664882,875.6450405661748,1.346301245689392,233.11708320770245
D_xavier,60,4,190.733077093512,3289.2320543971755,2.847534449895222,199.77431715721875
D_mid1,60,4,197.15484073378278,2686.209506599294,2.6118969599405926,204.51216086794273
D_ctor,60,5,232.3051982625931,904.760751329503,1.3596185286839804,238.24361774843962
D_xavier,61,4,191.4715597459152,3665.0580095049645,2.9518601576487224,199.76207856107118
D_mid1,61,4,198.90794581193026,2920.681935072342,2.686730273564656,206.85794871359943
D_ctor,61,4,229.24810314117076,882.2818196061268,1.3477066914240519,232.82412377663755
