dose,seed,epoch,train_loss,val_loss,val_ppl,embedding_rms_epoch_start,embedding_rms_epoch_end,embedding_grad_l2_mean,embedding_grad_l2_median,embedding_grad_l2_max,embedding_grad_rms_mean,embedding_grad_rms_median,embedding_grad_rms_max,embedding_relative_epoch_displacement
D_below,52,1,6.885490493545402,6.145728516578674,466.7195381617757,0.0031501726745495878,0.0115422430878797,0.31582137138159433,0.3362563053405862,0.9527401329287312,0.0001245197528175331,0.00013257668992183627,0.00037563944875752993,3.5375281024219567
D_below,52,2,5.672694868738819,5.717215180397034,304.05699895609325,0.0115422430878797,0.01624411311158682,0.5599390482137602,0.5557979822747859,0.7684130943986589,0.00022076869456759494,0.0002191359852139928,0.00030296432492108734,0.8806853785166159
D_below,52,3,5.130478236523951,5.529252465566,251.95549520013108,0.01624411311158682,0.019778336382193652,0.6222958951797183,0.6213713881077658,0.7732911865642409,0.0002453542985649258,0.0002449897906420643,0.00030488762361370646,0.5428269781843809
D_below,52,4,4.748397737179163,5.451352421442667,233.07316600061918,0.019778336382193652,0.0227791323340334,0.681400909976228,0.683108002633566,0.8227209176649324,0.00026865779383043633,0.0002693308539048653,0.00032437641840795875,0.41173444191311576
D_below,52,5,4.449130846746585,5.4516903559366865,233.1519427729857,0.0227791323340334,0.02544577987012278,0.7333387669918037,0.7338834550459791,0.8635853172017901,0.0002891354742646641,0.0002893502299082479,0.0003404881365830353,0.34564406273404247
D_below,52,6,4.195124712448382,5.4886391162872314,241.9277471998284,0.02544577987012278,0.02784689815880358,0.7854393411027853,0.7892824202715691,0.9507798576991587,0.0003096773096115582,0.0003111925309091599,0.0003748665657003356,0.3033487073643831
D_below,52,7,3.9728695164413845,5.575696476300558,263.93331493629313,0.02784689815880358,0.03001582917310072,0.8306830467184009,0.8334829089226663,0.9396130582848884,0.0003275156687294365,0.000328619578031309,0.000370463801261865,0.272307897513628
D_below,52,8,3.7751541730674627,5.676081911722819,291.8038738557541,0.03001582917310072,0.031985452221920466,0.8792468836594766,0.8820958691920497,1.0189221333260225,0.00034666306507351476,0.0003477863423639173,0.000401733206423104,0.24768496967939477
D_below,52,9,3.5972093488912433,5.803647152582804,331.5064122522237,0.031985452221920466,0.033794809234865886,0.9199591458908379,0.9249627026104089,1.005634236085975,0.0003627147996585263,0.0003646875656027812,0.00039649415096413594,0.22898402054241707
D_below,52,10,3.4383018376692287,5.9474241733551025,382.7661289721507,0.033794809234865886,0.03546086315368346,0.9579575132127034,0.9621634727783371,1.0602285313902275,0.00037769651950126477,0.0003793548146419076,0.0004180191925621573,0.2129671993272905
