dose,factor_rel_ctor,target_rms,r,s_xav,rms_constructor
D_below,0.0031501877433132443,0.003150172752335089,0.006300375486626489,0.006300345504670178,0.9999952412429427
D_xavier,0.006300375486626489,0.006300345504670178,0.006300375486626489,0.006300345504670178,0.9999952412429427
D_mid1,0.03411229630606103,0.034112133973930245,0.006300375486626489,0.006300345504670178,0.9999952412429427
D_mid2,0.18469514424061353,0.18469426532129243,0.006300375486626489,0.006300345504670178,0.9999952412429427
D_ctor,1.0,0.9999952412429427,0.006300375486626489,0.006300345504670178,0.9999952412429427
